KEY,en,pl
SPRITE_CLICKS_0_0,WHAT'S THAT,CO TO
SPRITE_CLICKS_0_1,"It looks different now. 

After you bit that APPLE, your whole house seemed to be trasported somewhere. Then the APPLE disappeared and the KERNELSPRITE underwent a transformation. Aside from the change in appearance, the transformation doesn't seem to have any relevant ramifications. 

You still can't understand a word this idiot says.","Wygląda teraz inaczej

Zdaje się, że cały twój dom został gdzieś przeniesiony po tym, jak ugryzłeś tamto JABŁKO. Potem JABŁKO zniknęło i KERNELSPRITE przeszedł transformację. Pomijając zmianę w wyglądzie, transformacja zdaje się nie mieć żadnych istotnych konsekwencji.

Nadal nie rozumiesz słowa z tego, co gada ten idiota."
SPRITE_CLICKS_1_0,THE GHOST CLOWN. DO SOMETHING WITH IT.,DUCH KLAUNA. ZRÓB COŚ Z NIM.
SPRITE_CLICKS_1_1,"The 'GHOST CLOWN' is called the KERNELSPRITE! Or, rather just the SPRITE now, I suppose.

You can't 'DO SOMETHING' with it at the moment! The only thing you can theoretically do with it is TIER 2 PROTOTYPE IT, assuming that's still possible...","Ten ""DUCH KLAUNA"" nazywa się KERNELSPRITE!

Lub teraz raczej tylko SPRITE, jak sądzę. Nie możesz ""ZROBIĆ Z NIM CZEGOŚ"" na ten moment! Jedyna rzecz, jaką możesz z nim w tej chwili zrobić, to SPROTOTYPOWAĆ go do POZIOMU 2, zakładając iż jest to nadal możliwe..."
SPRITE_CLICKS_2_0,"TIER PROTO TYPE THE SPRITE, OR THE THING YOU SAID. DO IT.","SPROTOTYPUJ POZIOM SPRITE’A, CZY JAK TĘ RZECZ NAZWAŁEŚ. ZRÓB TO."
SPRITE_CLICKS_2_1,You are not the one who is supposed to prototype it! The SBURB SERVER USER is supposed to do that.,To nie ty masz go sprototypować! Ma to zrobić UŻYTKOWNIK SERWERA SBURB!
CHAR_CLICKS_0_0,YOU THERE. BOY.,TY TAM. CHŁOPCZE.
CHAR_CLICKS_0_1,"...

What?","...

Co?"
CHAR_CLICKS_1_0,"BOY. LISTEN TO ME, BOY.","CHŁOPCZE. POSŁUCHAJ MNIE, CHŁOPCZE."
CHAR_CLICKS_1_1,"His name is John, you nincompoop.","On się nazywa John, gamoniu."
CHAR_CLICKS_2_0,BOY WHO IS JOHN. DO AS I SAY.,"CHŁOPCZE, KTÓRY JESTEŚ JOHNEM. ZRÓB JAK MÓWIĘ."
CHAR_CLICKS_2_1,What would you like 'BOY WHO IS JOHN' to do?,"Co byś chciał, aby zrobił ""CHŁOPIEC, KTÓRY JEST JOHNEM""?"
CHAR_CLICKS_3_0,"OBEY MY COMMANDS, JOHN BOY.","SŁUCHAJ MOICH KOMEND, JOHNIE CHŁOPCZE."
CHAR_CLICKS_3_1,And those commands would be...?,A te komendy to...?
CHAR_CLICKS_4_0,I WOULD LIKE THE BOY TO INTERACT WITH HIS ENVIRONMENT IN A CONSTRUCTIVE MANNER.,"CHCIAŁBYM, ABY CHŁOPIEC WSZEDŁ W INTERAKCJĘ ZE  SWOIM OTOCZENIEM W SPOSÓB KONSTRUKTYWNY."
CHAR_CLICKS_4_1,Maybe you should be a little more specific?,Może powinieneś być bardziej precyzyjny?
CHAR_CLICKS_5_0,HAVE THE BOY ASSESS HIS CURRENT SITUATION.,"SPRAW, BY CHŁOPIEC OCENIŁ SWOJĄ AKTUALNĄ SYTUACJĘ."
CHAR_CLICKS_5_1,I'm afraid I can't 'HAVE THE BOY' do that. Tell him to do it yourself!,"Obawiam się, że nie mogę ""SPRAWIĆ, ŻEBY CHŁOPIEC"" to zrobił. Powiedz mu, by sam to zrobił!"
CHAR_CLICKS_6_0,VERY WELL.,DOBRZE.
CHAR_CLICKS_6_1,"...

Ok.","...

W porządku."
CHAR_CLICKS_7_0,==>,==>
CHAR_CLICKS_7_1,That instruction does not do anything at the moment!!!,Ta instrukcja nic nie wnosi na ten moment!!!
CHAR_CLICKS_8_0,==>,==>
CHAR_CLICKS_8_1,Sigh. Could you please turn the controls over to a more competent user?,Ehh. Mógłbyś przekazać kontrolery jakiemuś bardziej kompetentnemu użytkownikowi?
CHAR_CLICKS_9_0,ASLFSAKLADAK,ASLFSAKLADAK
CHAR_CLICKS_9_1,"Increasingly sophomoric.

Also, you almost spelled 'SALAD' in there.","Totalna dziecinada.

Swoją drogą, prawie napisałeś tam ""SKŁADAK""."
OUTSIDECUFFS_0_0,CLAIM THE DANGLING TREE-BAUBLE.,ODBIERZ DYNDAJĄCE Z DRZEWA ŚWIECIDEŁKO.
OUTSIDECUFFS_0_1,"The TRICK HANDCUFFS are still there! THANK GOD.

And no, you are not about to try to 'claim' them just now.","KAJDANKI DO TRIKÓW wciąż tu są! DZIĘKI BOŻE.

I nie, nie masz zamiaru ich teraz ""odbierać""."
OUTSIDESWING_0_0,"BOY, ENGAGE THIS MANGLED TRAPESE-DISPLAY.","CHŁOPCZE, ZAINTERESUJ SIĘ TĄ ZMIAŻDŻONĄ W TRAPEZ EKSPOZYCJĄ."
OUTSIDESWING_0_1,Looks like your SWING SET is toast. You relive fond memories in a moment of sorrow.,"Wygląda na to, że twoja huśtawka się usmażyła. Przeżywasz ponownie miłe wspomnienia w chwili smutku."
OUTSIDESLIMER_0_0,PONDER LAWN AMUSEMENT.,KONTEMPLUJ TRAWNIKOWĄ ROZRYWKĘ.
OUTSIDESLIMER_0_1,"Your childhood nemesis, the SPRING-MOUNTED POGO-RIDE, sadly was not swallowed by the void. It will have to wait another day for its comeuppance.","Twoja zmora z dzieciństwa, HUŚTAWKA SPRĘŻYNOWA, niestety nie została połknięta przez nicość. Będzie musiała poczekać kolejny dzień na jej przybycie."
OUTSIDEWIRES_0_0,FIDDLE WITH THE BRIGHT SPARKLY THINGS.,POBAW SIĘ JASNYMI ŚWIECĄCYMI RZECZAMI.
OUTSIDEWIRES_0_1,That sounds incredibly dangerous! John sensibly disregards your awful advice.,To brzmi niewiarygodnie niebezpiecznie! John rozsądnie ignoruje twoją okropną radę.
OUTSIDEGAUGE_0_0,ADMIRE THIS WALL-MOUNTED GADGET.,PODZIWIAJ TO WMONTOWANE W ŚCIANĘ URZĄDZENIE.
OUTSIDEGAUGE_0_1,"Through some mysterious force, your house still seems to be powered, even though the wires are severed. Quite bizarre.","Dzięki jakiejś tajemniczej sile twój dom zdaje się być wciąż zasilany, mimo iż przewody są uszkodzone. Dość dziwaczne."
